
? CHAPTER ONE  ?
16  Hairpin
17  Handful of dirt
18  Helmet
19  Ice pick or icicle
20  Jeweler's tools 
Table 3–114: Improvised Weapons 2
1  Lute or mandolin
2  Meat cleaver  
3  Metal pipe 
4  Metal platter
5  Mirror
6  Oar or paddle
7  Pen
8  Rock
9  Rope 
10  Sewer grate
11  Shaving razor
12  Shovel 
13  Sign
14  Stein or tankard
15  Table or chair leg
16  Umbrella
17  Umbrella cane 
18  Unconscious person
19  Vial of ink
20  Wooden shiv

Table 3–115: Hidden Weapon Location
1  Arm/shoulder sheath
2  Behind ear
3  Belt
4  Boot
5  Boot heel
6  Bottom of foot
7  Disguised as common item
8  Fold of cloak
9  Glove
10  Glued to skin
11  Hair
12  Hem of clothing
13  Hollow scabbard
14  Inner thigh
15  Leg of breeches
16  Nape of neck
17  On back
18  Sleeve
19  Undergarments
20  Weapon grip

Table 3–116: Bribes, Basic
1  Act as double agent
2  Assassination
3  Chance for partnership
4  Coerce confession from another in jail
5  Discount on business
6  False promise*
7  Fence goods
8  Fine wines or ales
9  Frame someone
10  Info on more lucrative crime
11  Lookout
12  Passwords to criminal dens
13  Payment in coins or gems
14  Percentage of the take
15  Perform a favor
16  Protection
17  Remove a threat
18  Stool pigeon
19  Turn in superior
20  Turn over illicit goods

? CHAPTER THREE  ?
Table 3–117:  Bribes, Advanced 1
1  Allow local tough guy to beat you up to impress someone
2  Arrange (with the jailer) for a short visit with someone currently inside a prison 
3  Arrange for a day pass to a guild's library
4  Arrange for a large donation to your deity's temple
5  Arrange for a one-time "insider's rate" at the local armory or potion shop
6  Arrange for a shipment to be lost
7  Arrange for a weapon to be smuggled into a party/gathering
8  Arrange for all of the guests at a party/gathering to be mildly poisoned
9  Arrange for someone to display romantic interest in another
10  Arrange for someone to forget a romantic interest in another
11  Arrange for someone's case to be reopened/re-examined
12  Arrange for you to talk for a few minutes with an influential person
13  Convince a diviner to report a false reading
14  Convince a supplier of goods or services not to serve a particular individual
15  Convince a witness to give false testimony
16  Convince a perjurer to recant his false testimony
17  Frame someone for a crime
18  Get someone a job where he can gather information
19  Have a paperwork snafu and delay an execution for a few days
20  Help arrange a secret meeting
 
Table 3–118:  Bribes, Advanced 2
1  Help obtain rare/banned items 
2  Help person pass as someone of higher/lower ranking 
3  Hold illegal goods for an allotted time 
4  Lure goblins into town so you can rescue the town from them
5  Make sure the best suite at the inn is reserved for person
6  Obtain the correct password for a secret meeting
7  Provide an alibi
8  Provide a contact at the magistrate's office to cut through some red tape
9  Provide a detailed map of dungeon/manor house/tower
10  Provide a distraction
11  Provide a hiding place
12  Provide information on a cargo shipment
13  Provide inside information for a bet
14  Provide monetary reward
15  Provide a place to offload goods
16  Smuggle illegal weapons/goods into town
17  Smuggle wanted person out of town
18  Take care of someone's mount becoming  injured
19  Tell an official's schedule
20  Wrangle an invitation to the local ball

? CHAPTER THREE  ?

Table 3–119: safehouses
1  Alchemy shop that doubles as a gambling den
2  Basement beneath a church library
3  Behind a smithy with double tong emblem
4  Bolthole at the basement of Grim's Tavern
5  Cot hidden in the attic of a small home
6  Cottage at the end of Dusty Alley
7  Forgotten niche at the base of a keep
8  Hayloft above a legitimate livery
9  Hidden parlor inside a brothel
10  Lean-to hidden above a tavern
11  Magical scroll that creates an invisible tent
12  Moneylender's vault behind a greengrocer
13  Small room at the back of a meatlocker
14  Spare room above a jeweler's shop
15  Storage room at back of seamstress shop
16  Studio behind a secret door
17  Small apartment between two bakeries
18  Two-story apartment behind a cooper
19  Unattended wagon at the end of High Street
20  Under a brewery crawlspace

Table 3–120: Rogue Guilds
1  Acrobats of Grace and Guile
2  Archers of the Silent Arrow
3  Black Dragon Monarchs
4  Eye and Lens Guild
5  The Gold Circle
6  Guild of the Dying Song
7  Hidden Dagger Guild
8  The Jade Hand
9  Kingsbane
10  Knights of the Underworld
11  The Lamplighters
12  Old City Raiders
13  Order of Midnight
14  The Quiet Night Guild
15  The Rapier's Point
16  Rogues of the Green Blade
17  Silver Shadow Swordsmen
18  Twin Daggers
19  The White Skull
20  Undercity Guardians

Table 3–121: Rogue Guild Descriptions
1  Alliance of the Cloak. Multiracial league of spies, contract thieves, and discreet mercenaries.
2  The Black Cloister. An ancient order of thieves that can only be joined through familial bloodlines.
3  Broken Bones. Thugs, racketeers, and intimidation experts. No one wants them visiting their shop.
4  Cats' Claws Guild. Part intimidation and part burglary, this guild is notorious for charm and guile.
5  Crawling Eyes. Information hounds, the Eyes are everywhere and pay handsomely for gossip.
6  Cutpurse Moan. Mostly pickpockets, these rogues also steal from low-rent businesses and homes.
7  Fraternity of Mist. A complex order, complete with rituals, ranks, and blood oaths.
8  The Gauntlet. Mostly lockpickers and safecrackers, members of the Gauntlet work for anyone.
9  Glassmen. Thieves who also maintain skills in craftsmanship and weaving.
10  Gorgon and Fist Guild. A new guild using cryptic runes to mark their territory and safehouses.
11  Grey Knights. Thieves who have convinced themselves that their deeds are for the good of all.
12  The Hatsmen. Shopkeepers and community leaders who run/steal illegal goods behind the scenes.
13  Ivan's 40. A gang of thieves who dress similarly and work in tandem to evade guards.
14  Miner's Guild. A front for an otherwise disorganized group of thieves.
15  The Nevermen. A now-dead guild that rumor says sold its name to a mercenary company.
16  Orcs.  A misnomer used to distract authorities from their true purposes...
17  The Orphans. Working mostly with crowds to find marks, shill for coin, and con everyone.
18  Sisters of Shadow. An all-woman's group of confidence tricksters and brokers.
19  Skull Ward. A mysterious group of thieves connected to almost everything.
20  Venom Shards. A poorly named group made up of young vagabonds with little direction.

? CHAPTER THREE  ?
Religion

Table 3–122: Church Descriptions, Detailed
1  All doors and windows of the church face south. It has a nave with three chapels, a choir alcove, two altars in the transept, and a main altar. To the north of the main altar are a belfry and a sacristy. The convent, which forms an annex to the church, now houses an archaeological museum where holy relics captured in crusades into evil lands in ages past are displayed.
2  Building is actually an ancient mansion left to the church, only recently secured by church funds. Inside are sprawling rooms dedicated to different aspects of the deity. The walls have been left intact, so while there is no one common hall of worship, many smaller ceremonies are simultaneously going on.
3  Building housing the church is shaped like a morningstar or mace, with a long entry hall showcasing many of the shields or banners used by the faithful when going to battle. At the business end, the building branches out like a star, with the main worship hall in the center and clerics' quarters, high priest's retreat, holy relics, and care and health halls branching outward.
4  Built into a gigantic tree in the center of the community which dwarfs all those around it. The tree is an icon of the deity and is said to have grown with the blessing of the god. Both naturally hollowed-out rooms and man-made additions on sturdy branches hold the various offices and prayer chambers of the faithful, a majestic natural stair winding up to all.
5  Church consists entire of connected towers, the main hall divided by a screen depicting saints and scenes from the religion's history. Gray slate and white beams are used to help support the towers and their multiple levels. There are no chairs or pews; during ceremonies all worshippers are expected to stand. Small towers toward the edges of the property house the church's popular meditation pools.
6  Church is built around the skeleton of an ancient dragon that perished trying to force the faithful from the land in years past. The skeleton acts as the framework for the walls; the head an atrium, its ribcage the worship hall, and the tail and limbs leading to clerics' chambers and rooms of solitude. Thin, clear ultra-thick glass windows all face the sunset.
7  Church of magic is built into the side of an ancient and now-dormant volcano, shaped through spells to form the volcanic glass into walls and towering spires dedicated to the deity. It all has a very organic feel; the magic used created ultra-smooth glass walls and flowing hallways rounded and calming to those who walk them. There are icons of the faith about, but they are small, leaving the majority of the place very open and accessible.
8  Church was destroyed in a magical storm and the current high cleric continues the services among the ruins. Stone walls with dangerous rubble removed are all that remains around simple tents used to house the clerics of the deity. They believe themselves unworthy and make amends to the deity. They refuse any outside aid, saying when they have atoned the church will rise again.
9  Designed in a simple disk shape, with a domed ceiling made of material to capture the light of the sun and keep it in at all times of day or night. Inside are many curved balconies, with stair and ladder access leading to study rooms with books, meditation chambers with resting facilities, and  clerics' quarters.
10  Entrance of the church is full of fine wall paintings and the interior is entirely gold-painted. Domed towers encircle the main building at all points of the compass. The roof is ringed by gargoyles. The main atrium has an ivy-covered altar and marble floors flanked with nearly 20 alcoves, where eternal candles burn. The windows have been bricked up to form archer holes.

? CHAPTER THREE  ?
11  Hollowed-out stone cave by the shoreline with a path leading to it. Inside the walls are decorated with the paraphernalia of the deity and its faithful. While it is essentially one great worship hall, there are many side caves where clerics rest and goods are stored. Candles flickering from shore winds give the place a look of movement.
12  Monastery stands surrounded by huge pine trees. Many outbuildings have been converted to schools to teach the children of the land. It is partially famous for a statue of the god of learning, which is said to weep from time to time over the curse of ignorance. 
13  Most of its buildings converted to a hospital during a time of war and its primary function shifted to this after that time. Within the walled perimeter can be found a small grove of ancient olive trees said to promote the healing magic of the faith. The church is not overly adorned with holy relics, but many chambers now serve a more practical purpose for patients of the land.
14  Part of a gigantic stone bridge, built by the faithful in ages past to connect two warring nations. Accessed by entrances on either side, its roof is crossed by marching soldiers and beast-drawn wagons. Underneath are the rooms of clerics, a great worship hall suspended over the waterway below, and facilities in the arches of the bridge for storing holy weapons and relics.
15  Part of this church was accidentally burnt down in recent times and is currently under reconstruction. Three small chapels are on the holy ground owned by the church, with a long pergola covered in grape vines between them and the main domed building, which houses cleric quarters and the main altar. The main building has marble floors. 
16  A ruin, what stones remain are scorched, the land around it appears salted or cursed, the walls invaded by vines of ivy. There are several pikes with bodies impaled upon them. The church was burned down by a necromancer, lore says, and the bodies are his and those of his undead. The church followers were victorious over the defilers. However, the  rebuiling effort has haulted, showcasing the dead as a warning to godless villains.
17  Ruler of the kingdom took a deep personal interest in the otherwise unremarkable church and commissioned a well-known artist to paint large imposing murals on the ceiling, columns, and walls of the square and rigid buildings and the atrium. The windows are all circular and filled with green and blue stained glass.
18  Shrine's first floor is halfway below ground level, judging by the low windows. The women of the church are multi-talented: some paint icons, others embroider vestments and items for liturgical use. Hand-painted eggs are famous around the land, as are the sisters' prayer ropes, bookmarks, and other crafts. The church members make incense for use in ceremonies and for private prayer, which is usually done in the many private alcoves.
19  Temple consists of the main building, both grandiose and towering, and several outbuildings built nearby which have been annexed by the church in its many years. It shows signs of obvious wealth, with grand chandeliers and luxurious tapestries woven by masters of the church. Statues of saints holding fonts of holy water, symbols of the faithful, and holy cloth are common and usually of bronze, silver, and even gold.
20  Two massive towers straddle the main building of this oval-shaped temple, with massive pillars holding up a partial roof around the circumference of the church. Inside the oval building is a large inner courtyard with a sundial, around which are a cloistered walkway and numerous cells and halls. The vaulted ceilings of the halls are tastefully painted with floral decorations and scenes from the church scriptures.

? CHAPTER THREE  ?
Table 3–123: Churches 1
1  Abbey
2  Asylum
3  Basilica
4  Bethel
5  Bastion
6  Cathedral
7  Chantry
8  Chapel
9  Church
10  Cloister
11  Collective
12  Compound
13  Convent
14  Covey
15  Cult
16  Fane
17  Fellowship
18  Hall
19  Haven
20  Holy ground
Table 3–124: Churches 2
1  House
2  Kirk
3  Mission
4  Monastery
5  Mosque
6  Naos
7  Nunnery
8  Rectory
9  Refuge
10  Reliquary
11  Retreat
12  Sanctum
13  Sanctuary
14  Shrine
15  Stupa
16  Synagogue
17  Tabernacle
18  Temple
19  Tower
20  Wat

Table 3–125: Clerical Titles
1  Abbot
2  Acolyte
3  Archbishop
4  Ayatollah
5  Bishop
6  Brahman
7  Cardinal
8  Deacon
9  Guru
10  Imam
11  Lama
12  Minister
13  Missionary
14  Pastor
15  Priest
16  Prophet
17  Saint
18  Shaman
19  Shah
20  Wise Woman

Table 3–126: Worshippers
1  Come for self-image
2  Come out of popular duty
3  Come to atone for religious wrongdoing
4  Come to pray for another's failure
5  Come to pray for another's success
6  Come to pray for communal well-being
7  Come to pray for personal gain
8  Come to pray for protection from others
9  Come to receive holy abjuration magic
10  Seek advice on current troubles
11  Seek advice on the future
12  Seek advice on the past
13  Seek confirmation of faith
14  Seek correct path of choice
15  Seek enlightenment
16  Seek holy healing
17  Seek holy water or blessing
18  Seek inner peace
19  Seek solace from the public
20  Seek to impress others

? CHAPTER THREE  ?
